time,src,dst,proto,src_port,dst_port,packets,bytes,duration
1295981542.484409000,192.168.3.131,72.14.213.138,TCP,57011 - 58770,80,43,43,248.961997986
1295981542.708292000,192.168.3.131,72.14.213.102,TCP,55950,80,9,9,0.0584850311279
1295981542.928128000,192.168.3.131,72.14.213.147,TCP,52152,443,306,306,244.864248991
1295981543.103559000,192.168.3.131,65.55.206.209,TCP,55953,80,6,6,0.363031864166
1295981543.337241000,192.168.3.131,65.55.17.37,TCP,55954 - 55971,80,40,40,2.01049494743
1295981543.461968000,192.168.3.131,207.46.148.38,TCP,55955 - 56506,80,113,113,192.281325102
1295981543.495065000,192.168.3.131,66.235.139.121,TCP,55956 - 56494,80,98,98,192.086925983
1295981543.517728000,192.168.3.131,65.55.5.232,TCP,55957 - 55962,80,76,76,192.282271862
1295981543.518271000,192.168.3.131,65.55.239.163,TCP,55958,80,27,27,192.064718962
1295981543.602774000,192.168.3.131,65.55.5.231,TCP,55959,80,45,45,192.308212042
1295981543.652521000,192.168.3.131,206.108.207.139,TCP,55960,80,31,31,191.949459076
1295981543.659415000,192.168.3.131,184.24.133.32,TCP,55961,80,7,7,0.231174945831
1295981543.841133000,192.168.3.131,65.54.95.140,TCP,55963 - 56504,80,1153,1153,199.459248781
1295981543.981324000,192.168.3.131,63.215.202.48,TCP,55966,80,10,10,129.373873949
1295981544.252538000,192.168.3.131,63.215.202.49,TCP,55967,80,12,12,129.109103918
1295981545.001246000,192.168.3.131,72.14.213.101,TCP,55968 - 57024,80,29,29,191.282779932
1295981545.044729000,192.168.3.131,72.14.213.147,TCP,57839 - 57847,80,46,46,258.520601034
1295981545.127304000,192.168.3.131,207.46.216.54,TCP,55972 - 57191,80,15,15,264.488782883
1295981545.127681000,192.168.3.131,65.54.95.142,TCP,55973 - 56029,80,74,74,38.1617200375
1295981546.609581000,192.168.3.131,208.82.236.129,TCP,58264 - 58830,80,367,367,255.096035957
1295981549.760088000,192.168.3.131,72.14.213.105,TCP,57721,443,6,6,0.0199339389801
1295981550.917596000,192.168.3.131,72.14.213.18,TCP,49673,443,132,132,253.828491926
1295981559.603835000,192.168.3.131,239.255.255.250,UDP,57757,1900,6,6,6.0011138916
1295981561.406421000,192.168.3.131,74.217.50.10,TCP,57038,80,3,3,0.08180809021
1295981562.220872000,192.168.3.131,72.14.213.102,TCP,52201 - 52215,443,285,285,240.209419966
1295981569.081250000,192.168.3.131,65.55.206.199,TCP,56022 - 56411,80,315,315,167.173771143
1295981569.405936000,192.168.3.131,184.24.143.139,TCP,56023,80,7,7,0.22663807869
1295981569.735068000,192.168.3.131,65.55.118.107,TCP,56035 - 56324,80,23,23,118.389181852
1295981570.254799000,192.168.3.131,65.54.95.216,TCP,56044 - 56166,80,109,109,43.0310590267
1295981570.810029000,192.168.3.131,66.220.149.32,TCP,56048,80,66,66,165.372387886
1295981570.916893000,192.168.3.131,206.108.207.163,TCP,56049 - 56136,80,17,17,102.376278877
1295981570.992263000,192.168.3.131,207.46.0.109,TCP,56051 - 56320,80,92,92,164.898021936
1295981571.020240000,192.168.3.131,66.235.133.62,TCP,56053 - 56361,80,35,35,127.090716839
1295981571.049026000,192.168.3.131,206.108.207.145,TCP,56054,80,13,13,1.45664405823
1295981571.171240000,192.168.3.131,65.54.95.39,TCP,52248 - 56363,80,164,164,122.129302979
1295981571.250755000,192.168.3.131,65.54.95.66,TCP,56057 - 56505,80,35,35,168.164633989
1295981571.296714000,192.168.3.131,206.108.207.138,TCP,56058,80,241,241,164.823297977
1295981571.622224000,192.168.3.131,195.27.155.11,TCP,56061,80,22,22,164.955816984
1295981571.788123000,192.168.3.131,65.54.95.75,TCP,56064 - 56509,80,1277,1277,168.612199068
1295981572.446589000,192.168.3.131,65.54.95.68,TCP,56065 - 56511,80,1939,1939,167.955410004
1295981573.013593000,192.168.3.131,255.255.255.255,UDP,68,67,1,1,
1295981573.065135000,192.168.3.131,224.0.0.252,UDP,54600,5355,2,2,0.100131988525
1295981585.227532000,192.168.3.131,208.82.236.130,TCP,58351 - 58794,80,279,279,198.875030041
