time,src,dst,proto,src_port,dst_port,packets,bytes,duration
1295981542.484409000,192.168.3.131,72.14.213.138,TCP,57011,80,13,13,248.961997986
1295981542.708292000,192.168.3.131,72.14.213.102,TCP,55950,80,9,9,0.0584850311279
1295981542.928128000,192.168.3.131,72.14.213.147,TCP,52152,443,306,306,244.864248991
1295981543.103559000,192.168.3.131,65.55.206.209,TCP,55953,80,6,6,0.363031864166
1295981543.337241000,192.168.3.131,65.55.17.37,TCP,55954,80,32,32,1.77671813965
1295981543.461968000,192.168.3.131,207.46.148.38,TCP,55955,80,8,8,0.0536379814148
1295981543.495065000,192.168.3.131,66.235.139.121,TCP,55956,80,13,13,21.2001450062
1295981543.517728000,192.168.3.131,65.55.5.232,TCP,55957,80,48,48,192.282271862
1295981543.518271000,192.168.3.131,65.55.239.163,TCP,55958,80,27,27,192.064718962
1295981543.602774000,192.168.3.131,65.55.5.231,TCP,55959,80,45,45,192.308212042
1295981543.652521000,192.168.3.131,206.108.207.139,TCP,55960,80,31,31,191.949459076
1295981543.659415000,192.168.3.131,184.24.133.32,TCP,55961,80,7,7,0.231174945831
1295981543.754726000,192.168.3.131,65.55.5.232,TCP,55962,80,28,28,191.953266144
1295981543.841133000,192.168.3.131,65.54.95.140,TCP,55963,80,25,25,9.4402089119
1295981543.981324000,192.168.3.131,63.215.202.48,TCP,55966,80,10,10,129.373873949
1295981544.252538000,192.168.3.131,63.215.202.49,TCP,55967,80,12,12,129.109103918
1295981545.001246000,192.168.3.131,72.14.213.101,TCP,55968,80,25,25,191.282779932
1295981545.041891000,192.168.3.131,65.55.17.37,TCP,55971,80,8,8,0.305844783783
1295981545.044729000,192.168.3.131,72.14.213.147,TCP,57839,80,42,42,258.520601034
1295981545.127304000,192.168.3.131,207.46.216.54,TCP,55972,80,12,12,24.0972919464
1295981545.127681000,192.168.3.131,65.54.95.142,TCP,55973,80,42,42,8.15566086769
1295981546.609581000,192.168.3.131,208.82.236.129,TCP,58264,80,9,9,0.174994945526
1295981546.736952000,192.168.3.131,208.82.236.129,TCP,58265,80,14,14,0.218991041183
1295981549.760088000,192.168.3.131,72.14.213.105,TCP,57721,443,6,6,0.0199339389801
1295981549.832444000,192.168.3.131,208.82.236.129,TCP,58272,80,15,15,0.215628147125
1295981550.917596000,192.168.3.131,72.14.213.18,TCP,49673,443,132,132,253.828491926
1295981559.603835000,192.168.3.131,239.255.255.250,UDP,57757,1900,6,6,6.0011138916
1295981561.406421000,192.168.3.131,74.217.50.10,TCP,57038,80,3,3,0.08180809021
1295981562.220872000,192.168.3.131,72.14.213.102,TCP,52201,443,11,11,0.0679311752319
1295981562.221106000,192.168.3.131,72.14.213.102,TCP,52202,443,131,131,240.209185839
1295981562.221263000,192.168.3.131,72.14.213.102,TCP,52203,443,11,11,0.0684421062469
1295981562.221386000,192.168.3.131,72.14.213.102,TCP,52204,443,11,11,0.0707240104675
1295981562.223069000,192.168.3.131,72.14.213.102,TCP,52205,443,11,11,0.0708780288696
1295981562.223270000,192.168.3.131,72.14.213.102,TCP,52206,443,11,11,0.0714960098267
1295981562.269795000,192.168.3.131,72.14.213.102,TCP,52207,443,11,11,0.0683870315552
1295981562.270019000,192.168.3.131,72.14.213.102,TCP,52208,443,11,11,0.0745408535004
1295981562.271216000,192.168.3.131,72.14.213.102,TCP,52209,443,11,11,0.0733420848846
1295981562.271438000,192.168.3.131,72.14.213.102,TCP,52210,443,11,11,0.0780820846558
1295981562.271658000,192.168.3.131,72.14.213.102,TCP,52211,443,11,11,0.077819108963
1295981562.317554000,192.168.3.131,72.14.213.102,TCP,52212,443,11,11,0.0662240982056
1295981562.322663000,192.168.3.131,72.14.213.102,TCP,52213,443,11,11,0.0656259059906
1295981562.322906000,192.168.3.131,72.14.213.102,TCP,52214,443,11,11,0.0782690048218
1295981562.323917000,192.168.3.131,72.14.213.102,TCP,52215,443,11,11,0.0780801773071
1295981563.633487000,192.168.3.131,208.82.236.129,TCP,58303,80,9,9,0.16256403923
